iShares Core S&P Mid-Cap ETF
Fund Holdings as of,"Feb 12, 2026"
Inception Date,"May 22, 2000"
Shares Outstanding,"1,563,400,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Type,Sector,Asset Class,Market Value,Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date,Notional Weight,Market Weight
"SF","STIFEL FINANCIAL CORP","EQUITY","Financials","Equity","390,998,981.25","390,998,981.25","3,292,623.00","118.75","United States","New York Stock Exchange Inc.","USD","1.00","USD","-","0.35","0.35"
"DY","DYCOM INDUSTRIES INC","EQUITY","Industrials","Equity","390,706,015.32","390,706,015.32","936,204.00","417.33","United States","New York Stock Exchange Inc.","USD","1.00","USD","-","0.35","0.35"
"FHN","FIRST HORIZON CORP","EQUITY","Financials","Equity","390,557,657.49","390,557,657.49","15,921,633.00","24.53","United States","New York Stock Exchange Inc.","USD","1.00","USD","-","0.35","0.35"
"TXRH","TEXAS ROADHOUSE INC","EQUITY","Consumer Discretionary","Equity","389,087,221.44","389,087,221.44","2,138,782.00","181.92","United States","NASDAQ","USD","1.00","USD","-","0.35","0.35"
"WMS","ADVANCED DRAINAGE SYSTEMS INC","EQUITY","Industrials","Equity","388,152,633.96","388,152,633.96","2,313,324.00","167.79","United States","New York Stock Exchange Inc.","USD","1.00","USD","-","0.35","0.35"
"SNX","TD SYNNEX CORP","EQUITY","Information Technology","Equity","385,490,793.60","385,490,793.60","2,448,960.00","157.41","United States","New York Stock Exchange Inc.","USD","1.00","USD","-","0.35","0.35"
"AEIS","ADVANCED ENERGY INDUSTRIES INC","EQUITY","Information Technology","Equity","381,950,467.80","381,950,467.80","1,220,484.00","312.95","United States","NASDAQ","USD","1.00","USD","-","0.35","0.35"
"ROIV","ROIVANT SCIENCES LTD","EQUITY","Health Care","Equity","378,994,133.75","378,994,133.75","14,168,005.00","26.75","United States","NASDAQ","USD","1.00","USD","-","0.34","0.34"
"PR","PERMIAN RESOURCES CORP CLASS A","EQUITY","Energy","Equity","378,550,549.38","378,550,549.38","22,452,583.00","16.86","United States","New York Stock Exchange Inc.","USD","1.00","USD","-","0.34","0.34"
"ACM","AECOM","EQUITY","Industrials","Equity","378,498,751.02","378,498,751.02","4,282,629.00","88.38","United States","New York Stock Exchange Inc.","USD","1.00","USD","-","0.34","0.34"
